Time,Judge,IspTime,Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Data64,Data65,Data66,Data67,Data68,Data69,Data70,Data71,Data72,Data73,Data74,Data75,Data76,Data77,Data78,Data79,Data80,Data81,Data82,Data83,Data84,Data85,Data86,Data87,Data88,Data89,Data90,Data91,Data92,Data93,Data94,Data95,Data96,Data97,Data98,Data99,Data100,Data101,Data102,Data103,Data104,Data105,Data106,Data107,Data108,Data109,Data110,Data111,Data112,Data113,Data114,Data115,Data116,Data117,Data118,Data119,Data120,Data121,Data122,Data123,Data124,Data125,Data126,Data127,Data128,Data129,Data130,Data131,Data132,Data133,Data134,Data135,Data136,Data137,Data138,Data139,Data140,Data141,Data142,Data143,Data144,Data145,Data146,Data147
10:16:23:0,OK,734,24.023,22.823,22.804,11.378,10.784,10.185,9.586,8.985,8.383,7.782,7.182,6.405,5.728,5.24,4.482,3.727,3.234,2.481,1.723,1.236,0.48,0.277,0.77,1.522,2.28,2.766,3.523,4.285,4.765,5.52,6.281,6.767,7.523,8.284,8.772,9.527,10.286,10.776,11.449,11.37,10.779,10.179,9.583,8.984,8.382,7.785,7.184,6.407,5.736,5.243,4.482,3.73,3.235,2.482,1.733,1.232,0.482,0.262,0.763,1.518,2.27,2.764,3.515,4.263,4.76,5.512,6.261,6.761,7.513,8.267,8.759,9.512,10.273,10.763,11.436,0.827,0.827,0.835,0.822,0.821,0.828,0.812,0.818,0.823,0.812,0.822,0.817,0.81,0.818,0.819,0.812,0.827,0.794,0.807,0.822,0.815,0.818,0.832,0.82,0.806,0.828,0.826,0.825,0.83,0.831,0.83,0.837,0.84,0.84,0.841,0.85,0.826,0.825,0.83,0.832,0.83,0.83,0.83,0.821,0.838,0.833,0.842,0.84,0.846,0.848,0.84,0.846,0.845,0.841,0.847,0.847,0.839,0.843,0.841,0.834,0.842,0.844,0.833,0.834,0.838,0.833,0.831,0.835,0.826,0.832,0.834,0.823
10:19:57:3,OK,1351,24.015,22.829,22.792,11.378,10.783,10.184,9.583,8.985,8.385,7.779,7.183,6.407,5.715,5.238,4.48,3.727,3.233,2.478,1.726,1.235,0.477,0.281,0.771,1.522,2.283,2.77,3.523,4.282,4.767,5.521,6.279,6.768,7.524,8.288,8.768,9.524,10.29,10.775,11.455,11.359,10.776,10.177,9.584,8.982,8.385,7.789,7.18,6.404,5.733,5.24,4.48,3.73,3.232,2.48,1.724,1.233,0.48,0.262,0.764,1.519,2.272,2.768,3.516,4.266,4.765,5.513,6.269,6.769,7.515,8.266,8.765,9.512,10.271,10.767,11.435,0.815,0.81,0.827,0.818,0.804,0.812,0.799,0.802,0.803,0.81,0.816,0.819,0.809,0.816,0.81,0.812,0.825,0.819,0.809,0.822,0.82,0.825,0.832,0.822,0.812,0.833,0.834,0.832,0.839,0.841,0.846,0.848,0.85,0.844,0.84,0.848,0.834,0.835,0.833,0.832,0.83,0.825,0.825,0.825,0.831,0.835,0.84,0.834,0.843,0.846,0.838,0.843,0.845,0.84,0.845,0.841,0.837,0.837,0.835,0.833,0.839,0.839,0.831,0.833,0.835,0.83,0.828,0.831,0.821,0.828,0.828,0.816
10:21:05:4,OK,1264,24.015,22.829,22.792,11.378,10.782,10.184,9.583,8.984,8.385,7.779,7.182,6.407,5.715,5.238,4.48,3.727,3.233,2.477,1.726,1.234,0.477,0.282,0.771,1.523,2.284,2.77,3.523,4.282,4.767,5.521,6.28,6.768,7.524,8.289,8.769,9.525,10.29,10.775,11.456,11.358,10.776,10.177,9.583,8.982,8.384,7.789,7.18,6.403,5.732,5.24,4.48,3.729,3.232,2.48,1.724,1.233,0.48,0.262,0.764,1.519,2.272,2.768,3.516,4.266,4.765,5.513,6.269,6.769,7.515,8.266,8.765,9.512,10.271,10.767,11.435,0.815,0.811,0.828,0.818,0.803,0.813,0.799,0.802,0.803,0.81,0.816,0.819,0.809,0.817,0.81,0.812,0.825,0.82,0.809,0.822,0.821,0.825,0.833,0.823,0.812,0.833,0.834,0.833,0.839,0.841,0.846,0.848,0.849,0.844,0.84,0.848,0.834,0.835,0.833,0.832,0.83,0.825,0.825,0.825,0.831,0.835,0.84,0.833,0.843,0.846,0.837,0.843,0.844,0.84,0.845,0.841,0.836,0.837,0.835,0.833,0.838,0.838,0.831,0.833,0.835,0.829,0.828,0.83,0.821,0.828,0.827,0.816
10:23:44:2,OK,1271,24.015,22.828,22.791,11.378,10.783,10.185,9.584,8.985,8.385,7.78,7.183,6.407,5.716,5.238,4.481,3.727,3.234,2.478,1.727,1.235,0.478,0.281,0.77,1.522,2.283,2.769,3.522,4.281,4.766,5.52,6.279,6.767,7.523,8.288,8.768,9.524,10.287,10.774,11.455,11.358,10.776,10.177,9.584,8.982,8.384,7.789,7.18,6.404,5.732,5.24,4.48,3.73,3.233,2.48,1.725,1.233,0.48,0.262,0.764,1.519,2.271,2.768,3.516,4.266,4.765,5.513,6.269,6.769,7.515,8.265,8.764,9.512,10.271,10.767,11.434,0.815,0.811,0.828,0.818,0.803,0.813,0.8,0.803,0.803,0.81,0.816,0.819,0.809,0.817,0.811,0.813,0.826,0.82,0.81,0.822,0.821,0.826,0.833,0.823,0.812,0.833,0.834,0.833,0.839,0.841,0.846,0.849,0.85,0.844,0.841,0.849,0.834,0.834,0.833,0.832,0.83,0.825,0.825,0.825,0.831,0.835,0.84,0.833,0.843,0.846,0.838,0.843,0.844,0.84,0.845,0.841,0.836,0.837,0.835,0.833,0.838,0.838,0.83,0.832,0.835,0.829,0.828,0.83,0.821,0.828,0.827,0.817
10:24:23:2,OK,1296,24.015,22.829,22.792,11.378,10.782,10.184,9.583,8.984,8.385,7.779,7.182,6.407,5.715,5.238,4.48,3.726,3.232,2.477,1.726,1.234,0.477,0.282,0.771,1.523,2.283,2.77,3.523,4.282,4.767,5.521,6.28,6.768,7.524,8.289,8.769,9.525,10.29,10.775,11.456,11.358,10.775,10.177,9.583,8.981,8.384,7.789,7.179,6.403,5.732,5.24,4.479,3.729,3.232,2.479,1.724,1.232,0.479,0.263,0.765,1.52,2.273,2.769,3.517,4.266,4.766,5.514,6.269,6.77,7.516,8.266,8.765,9.513,10.272,10.768,11.435,0.815,0.81,0.828,0.818,0.803,0.814,0.8,0.802,0.803,0.811,0.816,0.819,0.809,0.817,0.811,0.813,0.826,0.82,0.809,0.822,0.821,0.825,0.833,0.823,0.812,0.833,0.834,0.833,0.84,0.842,0.846,0.849,0.85,0.844,0.841,0.849,0.834,0.834,0.833,0.832,0.83,0.824,0.825,0.825,0.831,0.834,0.84,0.833,0.843,0.846,0.837,0.843,0.844,0.84,0.845,0.841,0.836,0.837,0.835,0.833,0.839,0.838,0.831,0.832,0.835,0.829,0.828,0.83,0.821,0.828,0.827,0.817
