Time,Judge,IspTime,Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Data64,Data65,Data66,Data67,Data68,Data69,Data70,Data71,Data72,Data73,Data74,Data75,Data76,Data77,Data78,Data79,Data80,Data81,Data82,Data83,Data84,Data85,Data86,Data87,Data88,Data89,Data90,Data91,Data92,Data93,Data94,Data95,Data96,Data97,Data98,Data99,Data100,Data101,Data102,Data103,Data104,Data105,Data106,Data107,Data108,Data109,Data110,Data111,Data112,Data113,Data114,Data115,Data116,Data117,Data118,Data119,Data120,Data121,Data122,Data123,Data124,Data125,Data126,Data127,Data128,Data129,Data130,Data131,Data132,Data133,Data134,Data135,Data136,Data137,Data138,Data139,Data140,Data141,Data142,Data143,Data144,Data145,Data146,Data147
10:16:22:9,OK,600,24.802,22.831,22.795,11.374,10.781,10.182,9.581,8.982,8.382,7.778,7.181,6.405,5.713,5.235,4.479,3.724,3.231,2.478,1.718,1.232,0.477,0.278,0.77,1.522,2.284,2.769,3.522,4.28,4.767,5.519,6.278,6.768,7.522,8.283,8.769,9.523,10.284,10.773,11.454,11.357,10.775,10.177,9.582,8.981,8.383,7.787,7.177,6.4,5.73,5.24,4.478,3.727,3.232,2.477,1.723,1.231,0.478,0.265,0.767,1.522,2.275,2.771,3.519,4.269,4.768,5.516,6.273,6.772,7.519,8.27,8.767,9.516,10.275,10.77,11.44,0.809,0.803,0.82,0.819,0.804,0.811,0.796,0.803,0.803,0.81,0.815,0.817,0.809,0.815,0.81,0.813,0.825,0.818,0.81,0.821,0.82,0.825,0.833,0.823,0.813,0.833,0.833,0.832,0.838,0.841,0.843,0.845,0.821,0.843,0.84,0.846,0.834,0.835,0.834,0.833,0.832,0.824,0.825,0.824,0.831,0.833,0.838,0.832,0.839,0.841,0.832,0.839,0.84,0.837,0.842,0.837,0.835,0.836,0.835,0.833,0.839,0.839,0.832,0.833,0.835,0.83,0.829,0.832,0.823,0.829,0.828,0.819
10:18:03:0,OK,590,24.806,22.824,22.811,11.372,10.781,10.182,9.578,8.98,8.381,7.777,7.175,6.405,5.717,5.237,4.479,3.724,3.233,2.48,1.724,1.235,0.48,0.277,0.766,1.52,2.28,2.769,3.523,4.278,4.767,5.517,6.28,6.768,7.521,8.282,8.767,9.526,10.287,10.764,11.449,11.372,10.772,10.178,9.577,8.977,8.378,7.778,7.18,6.401,5.735,5.24,4.477,3.73,3.236,2.477,1.736,1.234,0.471,0.261,0.763,1.522,2.267,2.767,3.518,4.261,4.766,5.514,6.263,6.764,7.515,8.263,8.76,9.517,10.27,10.768,11.44,0.813,0.793,0.811,0.81,0.823,0.824,0.799,0.81,0.819,0.807,0.826,0.82,0.802,0.826,0.82,0.811,0.825,0.814,0.804,0.825,0.819,0.818,0.836,0.821,0.806,0.832,0.829,0.825,0.824,0.826,0.826,0.83,0.831,0.831,0.834,0.802,0.816,0.82,0.823,0.822,0.822,0.808,0.801,0.815,0.818,0.822,0.825,0.816,0.829,0.829,0.822,0.824,0.826,0.821,0.83,0.834,0.825,0.832,0.834,0.828,0.838,0.838,0.83,0.832,0.837,0.832,0.836,0.839,0.831,0.843,0.844,0.833
10:18:36:1,OK,1108,24.807,22.823,22.813,11.368,10.774,10.175,9.575,8.976,8.377,7.772,7.174,6.399,5.715,5.229,4.475,3.72,3.229,2.477,1.714,1.228,0.478,0.282,0.775,1.526,2.282,2.772,3.524,4.285,4.773,5.523,6.283,6.77,7.527,8.288,8.774,9.531,10.291,10.779,11.452,11.368,10.773,10.174,9.576,8.976,8.377,7.777,7.177,6.397,5.729,5.24,4.474,3.723,3.231,2.473,1.723,1.228,0.472,0.274,0.768,1.527,2.276,2.768,3.525,4.272,4.773,5.52,6.272,6.769,7.522,8.275,8.767,9.524,10.279,10.775,11.446,0.815,0.808,0.818,0.815,0.809,0.803,0.806,0.796,0.794,0.805,0.802,0.799,0.797,0.804,0.794,0.796,0.802,0.798,0.795,0.818,0.81,0.811,0.814,0.81,0.8,0.819,0.817,0.823,0.83,0.833,0.836,0.837,0.838,0.839,0.822,0.84,0.83,0.826,0.823,0.827,0.826,0.824,0.82,0.822,0.822,0.827,0.834,0.833,0.836,0.844,0.832,0.837,0.837,0.835,0.841,0.844,0.835,0.839,0.831,0.834,0.842,0.841,0.831,0.833,0.836,0.83,0.829,0.828,0.821,0.828,0.829,0.815
10:22:47:3,OK,1059,24.8,22.831,22.795,11.373,10.78,10.181,9.58,8.981,8.381,7.777,7.18,6.404,5.711,5.234,4.478,3.723,3.23,2.477,1.723,1.231,0.476,0.278,0.771,1.523,2.284,2.769,3.523,4.281,4.768,5.52,6.279,6.768,7.523,8.284,8.77,9.524,10.285,10.774,11.455,11.357,10.775,10.176,9.581,8.981,8.382,7.787,7.177,6.401,5.729,5.239,4.478,3.726,3.232,2.476,1.723,1.231,0.477,0.267,0.768,1.523,2.276,2.771,3.519,4.27,4.769,5.517,6.273,6.772,7.519,8.27,8.768,9.517,10.275,10.771,11.44,0.808,0.804,0.821,0.819,0.803,0.811,0.796,0.802,0.804,0.811,0.815,0.818,0.809,0.815,0.811,0.813,0.825,0.819,0.809,0.82,0.82,0.825,0.833,0.823,0.814,0.833,0.833,0.832,0.838,0.84,0.843,0.846,0.821,0.842,0.839,0.846,0.835,0.835,0.833,0.832,0.831,0.824,0.824,0.824,0.831,0.833,0.837,0.831,0.839,0.84,0.832,0.838,0.84,0.836,0.841,0.836,0.834,0.835,0.835,0.831,0.838,0.838,0.831,0.833,0.834,0.83,0.829,0.831,0.822,0.828,0.827,0.818
